School,Score,Latitude,Longitude,Suburb,Post,geometry
St Joseph's School,78,-37.8627399,145.285838,Boronia,3155,POINT (145.285838 -37.8627399)
Boronia K-12 College,69,,,Boronia,3155,POINT (nan nan)
Boronia West Primary School,67,-37.8588743,145.2786238,Boronia,3155,POINT (145.2786238 -37.8588743)
Lysterfield Primary School,95,-37.9126125,145.2739467,Ferntree Gully,3156,POINT (145.2739467 -37.9126125)
Mountain Gate Primary School,86,-37.8850232,145.2704185,Ferntree Gully,3156,POINT (145.2704185 -37.8850232)
Kent Park Primary School,84,-37.8848171,145.2623019,Ferntree Gully,3156,POINT (145.2623019 -37.8848171)
Wattle View Primary School,76,,,Ferntree Gully,3156,POINT (nan nan)
Fairhills Primary School,75,-37.8680369,145.266788,Ferntree Gully,3156,POINT (145.266788 -37.8680369)
Ferntree Gully North Primary School,74,-37.8871271,145.2959713,Ferntree Gully,3156,POINT (145.2959713 -37.8871271)
St John the Baptist School,72,,,Ferntree Gully,3156,POINT (nan nan)
Upper Ferntree Gully Primary School,67,-37.8997833,145.3131034,Ferntree Gully,3156,POINT (145.3131034 -37.8997833)
Knox Park Primary School,92,-37.892697,145.2491022,Knoxfield,3180,POINT (145.2491022 -37.892697)
Carrington Primary School,66,-37.8913441,145.2446187,Knoxfield,3180,POINT (145.2446187 -37.8913441)
Lysterfield Primary School,95,-37.9126125,145.2739467,Lysterfield,3156,POINT (145.2739467 -37.9126125)
Mountain Gate Primary School,86,-37.8850232,145.2704185,Lysterfield,3156,POINT (145.2704185 -37.8850232)
Kent Park Primary School,84,-37.8848171,145.2623019,Lysterfield,3156,POINT (145.2623019 -37.8848171)
Wattle View Primary School,76,,,Lysterfield,3156,POINT (nan nan)
Fairhills Primary School,75,-37.8680369,145.266788,Lysterfield,3156,POINT (145.266788 -37.8680369)
Ferntree Gully North Primary School,74,-37.8871271,145.2959713,Lysterfield,3156,POINT (145.2959713 -37.8871271)
St John the Baptist School,72,,,Lysterfield,3156,POINT (nan nan)
Upper Ferntree Gully Primary School,67,-37.8997833,145.3131034,Lysterfield,3156,POINT (145.3131034 -37.8997833)
Karoo Primary School,95,,,Rowville,3178,POINT (nan nan)
Park Ridge Primary School,88,,,Rowville,3178,POINT (nan nan)
Rowville Primary School,88,-37.9252777,145.2365471,Rowville,3178,POINT (145.2365471 -37.9252777)
Heany Park Primary School,87,,,Rowville,3178,POINT (nan nan)
St Simon's School,81,,,Rowville,3178,POINT (nan nan)
St Jude the Apostle School,82,,,Scoresby,3179,POINT (nan nan)
Scoresby Primary School,77,-37.8944188,145.2252169,Scoresby,3179,POINT (145.2252169 -37.8944188)
The Basin Primary School,89,-37.85223,145.3105766,The Basin,3154,POINT (145.3105766 -37.85223)
St Bernadette's Primary School,86,,,The Basin,3154,POINT (nan nan)
Fitzroy Community School,100,-37.7891599,144.97984,Fitzroy North,3068,POINT (144.97984 -37.7891599)
Clifton Hill Primary School,96,-37.7925473,144.989352805743,Fitzroy North,3068,POINT (144.989352805743 -37.7925473)
Merri Creek Primary School,96,-37.7765664,144.9813821,Fitzroy North,3068,POINT (144.9813821 -37.7765664)
Lighthouse Christian College,99,-38.1150304,145.2977981,Five Ways,3977,POINT (145.2977981 -38.1150304)
Knox Gardens Primary School,95,-37.8814415,145.2297122,Wantirna,3152,POINT (145.2297122 -37.8814415)
Wantirna Primary School,93,-37.8584939,145.2115291,Wantirna,3152,POINT (145.2115291 -37.8584939)
Regency Park Primary School,92,-37.8576346,145.2319792,Wantirna,3152,POINT (145.2319792 -37.8576346)
St Luke's School,88,,,Wantirna,3152,POINT (nan nan)
Holy Trinity Primary School,84,-37.8779706,145.2438834,Wantirna,3152,POINT (145.2438834 -37.8779706)
Wantirna South Primary School,84,-37.8720756,145.2439314,Wantirna,3152,POINT (145.2439314 -37.8720756)
Mount Pleasant Road Primary School,100,,,Forest Hill,3131,POINT (nan nan)
Sholem Aleichem College,100,-37.882826,145.0014169,Gardenvale,3185,POINT (145.0014169 -37.882826)
St Joseph's School,98,-37.8819303,145.0024205,Gardenvale,3185,POINT (145.0024205 -37.8819303)
Leibler Yavneh College,96,-37.8933693,145.0071875,Gardenvale,3185,POINT (145.0071875 -37.8933693)
Knox Gardens Primary School,95,-37.8814415,145.2297122,Wantirna South,3152,POINT (145.2297122 -37.8814415)
Wantirna Primary School,93,-37.8584939,145.2115291,Wantirna South,3152,POINT (145.2115291 -37.8584939)
Regency Park Primary School,92,-37.8576346,145.2319792,Wantirna South,3152,POINT (145.2319792 -37.8576346)
St Luke's School,88,,,Wantirna South,3152,POINT (nan nan)
Holy Trinity Primary School,84,-37.8779706,145.2438834,Wantirna South,3152,POINT (145.2438834 -37.8779706)
Wantirna South Primary School,84,-37.8720756,145.2439314,Wantirna South,3152,POINT (145.2439314 -37.8720756)
Carnegie Primary School,98,-37.893763,145.055501,Glen Huntly,3163,POINT (145.055501 -37.893763)
Murrumbeena Primary School,97,-37.8868487,145.0700748,Glen Huntly,3163,POINT (145.0700748 -37.8868487)
St Gregory the Great School,94,,,Doncaster,3108,POINT (nan nan)
Korowa Anglican Girls' School,98,-37.8607914,145.0544211,Glen Iris,3146,POINT (145.0544211 -37.8607914)
St Roch's Parish School,98,,,Glen Iris,3146,POINT (nan nan)
St Cecilia's Parish School,98,,,Glen Iris,3146,POINT (nan nan)
Donburn Primary School,92,-37.787579,145.1640764,Doncaster East,3109,POINT (145.1640764 -37.787579)
Sts Peter and Paul's School,87,,,Doncaster East,3109,POINT (nan nan)
Sacre Coeur,97,-37.8512002,145.0528184,Glen Iris,3146,POINT (145.0528184 -37.8512002)
Our Lady of the Pines School,94,,,Donvale,3111,POINT (nan nan)
Donvale Primary School,89,-37.8005623,145.1734067,Donvale,3111,POINT (145.1734067 -37.8005623)
St Anne's Primary School,95,,,Park Orchards,3114,POINT (nan nan)
Park Orchards Primary School,90,-37.7791373,145.2161107,Park Orchards,3114,POINT (145.2161107 -37.7791373)
Glen Iris Primary School,97,-37.8561968,145.0669183,Glen Iris,3146,POINT (145.0669183 -37.8561968)
Templestowe Park Primary School,95,-37.7575946,145.1432433,Templestowe,3106,POINT (145.1432433 -37.7575946)
St Charles Borromeo Primary School,87,,,Templestowe,3106,POINT (nan nan)
Warrandyte Primary School,90,-37.7421709,145.2133864,Warrandyte,3113,POINT (145.2133864 -37.7421709)
Andersons Creek Primary School,89,,,Warrandyte,3113,POINT (nan nan)
Wonga Park Primary School,89,-37.7296743,145.2744107,Wonga Park,3115,POINT (145.2744107 -37.7296743)
Camberwell South Primary School,96,-37.8488501,145.0627737,Glen Iris,3146,POINT (145.0627737 -37.8488501)
Croydon Hills Primary School,83,-37.7770956,145.2718689,Croydon,3136,POINT (145.2718689 -37.7770956)
Yarra Road Primary School,82,-37.7858998,145.2776091,Croydon,3136,POINT (145.2776091 -37.7858998)
Dorset Primary School,81,-37.8097588,145.2860556,Croydon,3136,POINT (145.2860556 -37.8097588)
Sacred Heart Primary School,81,,,Croydon,3136,POINT (nan nan)
Ainslie Parklands Primary School,77,,,Croydon,3136,POINT (nan nan)
Ruskin Park Primary School,72,-37.7970468,145.2963959,Croydon,3136,POINT (145.2963959 -37.7970468)
Croydon Primary School,65,-37.7868248,145.2754035,Croydon,3136,POINT (145.2754035 -37.7868248)
Glendal Primary School,99,-37.8691122,145.1554739,Glen Waverley,3150,POINT (145.1554739 -37.8691122)
Croydon Hills Primary School,83,-37.7770956,145.2718689,Croydon Hills,3136,POINT (145.2718689 -37.7770956)
Yarra Road Primary School,82,-37.7858998,145.2776091,Croydon Hills,3136,POINT (145.2776091 -37.7858998)
Dorset Primary School,81,-37.8097588,145.2860556,Croydon Hills,3136,POINT (145.2860556 -37.8097588)
Sacred Heart Primary School,81,,,Croydon Hills,3136,POINT (nan nan)
Ainslie Parklands Primary School,77,,,Croydon Hills,3136,POINT (nan nan)
Ruskin Park Primary School,72,-37.7970468,145.2963959,Croydon Hills,3136,POINT (145.2963959 -37.7970468)
Croydon Primary School,65,-37.7868248,145.2754035,Croydon Hills,3136,POINT (145.2754035 -37.7868248)
Mount View Primary School,99,-37.88321,145.1775512,Glen Waverley,3150,POINT (145.1775512 -37.88321)
Croydon Hills Primary School,83,-37.7770956,145.2718689,Croydon North,3136,POINT (145.2718689 -37.7770956)
Yarra Road Primary School,82,-37.7858998,145.2776091,Croydon North,3136,POINT (145.2776091 -37.7858998)
Dorset Primary School,81,-37.8097588,145.2860556,Croydon North,3136,POINT (145.2860556 -37.8097588)
Sacred Heart Primary School,81,,,Croydon North,3136,POINT (nan nan)
Ainslie Parklands Primary School,77,,,Croydon North,3136,POINT (nan nan)
Ruskin Park Primary School,72,-37.7970468,145.2963959,Croydon North,3136,POINT (145.2963959 -37.7970468)
Croydon Primary School,65,-37.7868248,145.2754035,Croydon North,3136,POINT (145.2754035 -37.7868248)
Good Shepherd School,99,,,Glen Waverley,3150,POINT (nan nan)
Croydon Hills Primary School,83,-37.7770956,145.2718689,Croydon South,3136,POINT (145.2718689 -37.7770956)
Yarra Road Primary School,82,-37.7858998,145.2776091,Croydon South,3136,POINT (145.2776091 -37.7858998)
Dorset Primary School,81,-37.8097588,145.2860556,Croydon South,3136,POINT (145.2860556 -37.8097588)
Sacred Heart Primary School,81,,,Croydon South,3136,POINT (nan nan)
Ainslie Parklands Primary School,77,,,Croydon South,3136,POINT (nan nan)
Ruskin Park Primary School,72,-37.7970468,145.2963959,Croydon South,3136,POINT (145.2963959 -37.7970468)
Croydon Primary School,65,-37.7868248,145.2754035,Croydon South,3136,POINT (145.2754035 -37.7868248)
Camelot Rise Primary School,99,-37.8647225,145.1850827,Glen Waverley,3150,POINT (145.1850827 -37.8647225)
Glen Waverley Primary School,99,-37.8755391,145.1779378,Glen Waverley,3150,POINT (145.1779378 -37.8755391)
Tinternvale Primary School,83,-37.818565,145.2654422,Heathmont,3135,POINT (145.2654422 -37.818565)
Great Ryrie Primary School,80,-37.8296927,145.2373384,Heathmont,3135,POINT (145.2373384 -37.8296927)
Eastwood Primary School,79,-37.8174099,145.251236,Heathmont,3135,POINT (145.251236 -37.8174099)
Marlborough Primary School,77,-37.8363322,145.2327504,Heathmont,3135,POINT (145.2327504 -37.8363322)
Gladesville Primary School,85,-37.8099806,145.3259793,Kilsyth South,3137,POINT (145.3259793 -37.8099806)
Kilsyth Primary School,79,-37.8012702,145.3221355,Kilsyth South,3137,POINT (145.3221355 -37.8012702)
St Richard's School,70,,,Kilsyth South,3137,POINT (nan nan)
Highvale Primary School,98,-37.8660963,145.1726699,Glen Waverley,3150,POINT (145.1726699 -37.8660963)
Yarra Valley Grammar School,95,,,Ringwood,3134,POINT (nan nan)
Ringwood North Primary School,90,-37.7938292,145.2358253,Ringwood,3134,POINT (145.2358253 -37.7938292)
Holy Spirit School,89,-37.7938292,145.2358253,Ringwood,3134,POINT (145.2358253 -37.7938292)
Ringwood Heights Primary School,87,-37.8023752,145.2204006,Ringwood,3134,POINT (145.2204006 -37.8023752)
Warranwood Primary School,87,-37.77482075,145.247233541239,Ringwood,3134,POINT (145.247233541239 -37.77482075)
Kalinda Primary School,86,-37.792195,145.2559529,Ringwood,3134,POINT (145.2559529 -37.792195)
Our Lady of Perpetual Help School,78,,,Ringwood,3134,POINT (nan nan)
Wheelers Hill Primary School,98,-37.9000057,145.1773945,Glen Waverley,3150,POINT (145.1773945 -37.9000057)
Brandon Park Primary School,98,-37.9091193,145.171815,Glen Waverley,3150,POINT (145.171815 -37.9091193)
Tinternvale Primary School,83,-37.818565,145.2654422,Ringwood East,3135,POINT (145.2654422 -37.818565)
Great Ryrie Primary School,80,-37.8296927,145.2373384,Ringwood East,3135,POINT (145.2373384 -37.8296927)
Eastwood Primary School,79,-37.8174099,145.251236,Ringwood East,3135,POINT (145.251236 -37.8174099)
Marlborough Primary School,77,-37.8363322,145.2327504,Ringwood East,3135,POINT (145.2327504 -37.8363322)
St Christopher's School,97,-37.8708059,145.1498667,Glen Waverley,3150,POINT (145.1498667 -37.8708059)
Yarra Valley Grammar School,95,,,Ringwood North,3134,POINT (nan nan)
Ringwood North Primary School,90,-37.7938292,145.2358253,Ringwood North,3134,POINT (145.2358253 -37.7938292)
Holy Spirit School,89,-37.7938292,145.2358253,Ringwood North,3134,POINT (145.2358253 -37.7938292)
Ringwood Heights Primary School,87,-37.8023752,145.2204006,Ringwood North,3134,POINT (145.2204006 -37.8023752)
Warranwood Primary School,87,-37.77482075,145.247233541239,Ringwood North,3134,POINT (145.247233541239 -37.77482075)
Kalinda Primary School,86,-37.792195,145.2559529,Ringwood North,3134,POINT (145.2559529 -37.792195)
Our Lady of Perpetual Help School,78,,,Ringwood North,3134,POINT (nan nan)
Hampton Primary School,99,-37.925454,145.0047992,Hampton,3188,POINT (145.0047992 -37.925454)
Yarra Valley Grammar School,95,,,Warranwood,3134,POINT (nan nan)
Ringwood North Primary School,90,-37.7938292,145.2358253,Warranwood,3134,POINT (145.2358253 -37.7938292)
Holy Spirit School,89,-37.7938292,145.2358253,Warranwood,3134,POINT (145.2358253 -37.7938292)
Ringwood Heights Primary School,87,-37.8023752,145.2204006,Warranwood,3134,POINT (145.2204006 -37.8023752)
Warranwood Primary School,87,-37.77482075,145.247233541239,Warranwood,3134,POINT (145.247233541239 -37.77482075)
Kalinda Primary School,86,-37.792195,145.2559529,Warranwood,3134,POINT (145.2559529 -37.792195)
Our Lady of Perpetual Help School,78,,,Warranwood,3134,POINT (nan nan)
Southmoor Primary School,98,-37.9398872,145.0561656,Hampton East,3189,POINT (145.0561656 -37.9398872)
St Margaret's School,99,-38.0377549,145.3450344,Harkaway,3806,POINT (145.3450344 -38.0377549)
Erasmus School,100,,,Hawthorn,3122,POINT (nan nan)
Scotch College,99,-37.833376,145.0340244,Hawthorn,3122,POINT (145.0340244 -37.833376)
St Joseph's School,96,-37.8215934,145.0355418,Hawthorn,3122,POINT (145.0355418 -37.8215934)
Blackburn Primary School,95,-37.8171832,145.1517589,Blackburn,3130,POINT (145.1517589 -37.8171832)
St Luke the Evangelist School,94,,,Blackburn,3130,POINT (nan nan)
Old Orchard Primary School,93,-37.8071127,145.1526522,Blackburn,3130,POINT (145.1526522 -37.8071127)
St Thomas the Apostle School,89,,,Blackburn,3130,POINT (nan nan)
Hawthorn West Primary School,96,-37.8206159,145.018547,Hawthorn,3122,POINT (145.018547 -37.8206159)
St Francis Xavier's Parish Primary School,91,,,Box Hill,3128,POINT (nan nan)
Roberts McCubbin Primary School,85,,,Box Hill,3128,POINT (nan nan)
Auburn South Primary School,96,-37.8417277,145.0456497,Hawthorn East,3123,POINT (145.0456497 -37.8417277)
Box Hill North Primary School,91,-37.8005644,145.1235471,Box Hill North,3129,POINT (145.1235471 -37.8005644)
Heathmont East Primary School,98,-37.8297294,145.2560479,Heathmont,3135,POINT (145.2560479 -37.8297294)
St Francis Xavier's Parish Primary School,91,,,Box Hill South,3128,POINT (nan nan)
Roberts McCubbin Primary School,85,,,Box Hill South,3128,POINT (nan nan)
Tintern Girls Grammar School,97,,,Heathmont,3135,POINT (nan nan)
Banyule Primary School,98,-37.7423498,145.0778236,Heidelberg,3084,POINT (145.0778236 -37.7423498)
St Benedict's Parish School,86,,,Burwood,3125,POINT (nan nan)
St Scholastica's Primary School,81,,,Burwood,3125,POINT (nan nan)
Oakleigh Primary School,98,-37.8942491,145.0879661,Hughesdale,3166,POINT (145.0879661 -37.8942491)
Burwood Heights Primary School,93,-37.8473571,145.1635179,Burwood East,3151,POINT (145.1635179 -37.8473571)
Oakleigh Grammar,98,-37.8974926,145.0849937,Hughesdale,3166,POINT (145.0849937 -37.8974926)
Parkmore Primary School,93,-37.843411,145.174937,Forest Hill,3131,POINT (145.174937 -37.843411)
Nunawading Christian College,91,-37.8247523,145.1721851,Forest Hill,3131,POINT (145.1721851 -37.8247523)
Hughesdale Primary School,96,-37.9084706,145.0769713,Hughesdale,3166,POINT (145.0769713 -37.9084706)
Mitcham Primary School,94,-37.8163026,145.1936549,Mitcham,3132,POINT (145.1936549 -37.8163026)
St John's School,94,,,Mitcham,3132,POINT (nan nan)
Antonio Park Primary School,89,-37.8172987,145.1884473,Mitcham,3132,POINT (145.1884473 -37.8172987)
Oakleigh Primary School,98,-37.8942491,145.0879661,Huntingdale,3166,POINT (145.0879661 -37.8942491)
Our Lady of Perpetual Succour School,95,,,Mont Albert,3127,POINT (nan nan)
Surrey Hills Primary School,94,-37.8257565,145.1006479,Mont Albert,3127,POINT (145.1006479 -37.8257565)
Our Holy Redeemer School,94,,,Mont Albert,3127,POINT (nan nan)
Chatham Primary School,92,-37.8179804,145.0930803,Mont Albert,3127,POINT (145.0930803 -37.8179804)
Oakleigh Grammar,98,-37.8974926,145.0849937,Huntingdale,3166,POINT (145.0849937 -37.8974926)
Parkmore Primary School,93,-37.843411,145.174937,Nunawading,3131,POINT (145.174937 -37.843411)
Nunawading Christian College,91,-37.8247523,145.1721851,Nunawading,3131,POINT (145.1721851 -37.8247523)
Hughesdale Primary School,96,-37.9084706,145.0769713,Huntingdale,3166,POINT (145.0769713 -37.9084706)
Ivanhoe Primary School,97,-37.7682195,145.0428604,Ivanhoe,3079,POINT (145.0428604 -37.7682195)
Ivanhoe East Primary School,96,-37.7756882,145.0595871,Ivanhoe,3079,POINT (145.0595871 -37.7756882)
Ivanhoe Primary School,97,-37.7682195,145.0428604,Ivanhoe East,3079,POINT (145.0428604 -37.7682195)
Holy Saviour Primary School,85,,,Vermont,3133,POINT (nan nan)
St Timothy's School,80,,,Vermont,3133,POINT (nan nan)
Ivanhoe East Primary School,96,-37.7756882,145.0595871,Ivanhoe East,3079,POINT (145.0595871 -37.7756882)
Penleigh & Essendon Grammar School,99,-37.7363352,144.8721999,Keilor East,3033,POINT (144.8721999 -37.7363352)
Trinity Grammar School,99,-37.8100337,145.0381783,Kew,3101,POINT (145.0381783 -37.8100337)
Methodist Ladies' College,99,,,Kew,3101,POINT (nan nan)
Holy Saviour Primary School,85,,,Vermont South,3133,POINT (nan nan)
St Timothy's School,80,,,Vermont South,3133,POINT (nan nan)
St Brigid's School,85,-37.6565815,145.5152883,Badger Creek,3777,POINT (145.5152883 -37.6565815)
Healesville Primary School,68,,,Badger Creek,3777,POINT (nan nan)
Badger Creek Primary School,65,-37.68109,145.532215,Badger Creek,3777,POINT (145.532215 -37.68109)
St Thomas More's Primary School,88,,,Belgrave,3160,POINT (nan nan)
Tecoma Primary School,86,-37.906601,145.3439748,Belgrave,3160,POINT (145.3439748 -37.906601)
Belgrave Heights Christian School,81,-37.9200467,145.3450299,Belgrave,3160,POINT (145.3450299 -37.9200467)
Belgrave South Primary School,79,-37.9221133,145.3566661,Belgrave,3160,POINT (145.3566661 -37.9221133)
St Thomas More's Primary School,88,,,Belgrave South,3160,POINT (nan nan)
Tecoma Primary School,86,-37.906601,145.3439748,Belgrave South,3160,POINT (145.3439748 -37.906601)
Belgrave Heights Christian School,81,-37.9200467,145.3450299,Belgrave South,3160,POINT (145.3450299 -37.9200467)
Belgrave South Primary School,79,-37.9221133,145.3566661,Belgrave South,3160,POINT (145.3566661 -37.9221133)
Carey Baptist Grammar School,98,-37.814486,145.047886,Kew,3101,POINT (145.047886 -37.814486)
Chirnside Park Primary School,83,-37.7613629,145.310227,Chirnside Park,3116,POINT (145.310227 -37.7613629)
St Brigid's School,85,-37.6565815,145.5152883,Chum Creek,3777,POINT (145.5152883 -37.6565815)
Healesville Primary School,68,,,Chum Creek,3777,POINT (nan nan)
Badger Creek Primary School,65,-37.68109,145.532215,Chum Creek,3777,POINT (145.532215 -37.68109)
Dixons Creek Primary School,89,-37.6195428,145.4098799,Dixons Creek,3775,POINT (145.4098799 -37.6195428)
Launching Place Primary School,91,-37.7818572,145.5708173,Don Valley,3139,POINT (145.5708173 -37.7818572)
Seville Primary School,84,-37.7742942,145.4677832,Don Valley,3139,POINT (145.4677832 -37.7742942)
Wandin North Primary School,79,-37.7698551,145.409764201241,Don Valley,3139,POINT (145.409764201241 -37.7698551)
Wandin Yallock Primary School,77,-37.7897634,145.43623618881,Don Valley,3139,POINT (145.43623618881 -37.7897634)
Woori Yallock Primary School,75,-37.7673231,145.5325855,Don Valley,3139,POINT (145.5325855 -37.7673231)
Ferny Creek Primary School,91,-37.8835969,145.333348,Ferny Creek,3786,POINT (145.333348 -37.8835969)
St Brigid's School,85,-37.6565815,145.5152883,Healesville,3777,POINT (145.5152883 -37.6565815)
Healesville Primary School,68,,,Healesville,3777,POINT (nan nan)
Badger Creek Primary School,65,-37.68109,145.532215,Healesville,3777,POINT (145.532215 -37.68109)
Launching Place Primary School,91,-37.7818572,145.5708173,Hoddles Creek,3139,POINT (145.5708173 -37.7818572)
Seville Primary School,84,-37.7742942,145.4677832,Hoddles Creek,3139,POINT (145.4677832 -37.7742942)
Wandin North Primary School,79,-37.7698551,145.409764201241,Hoddles Creek,3139,POINT (145.409764201241 -37.7698551)
Wandin Yallock Primary School,77,-37.7897634,145.43623618881,Hoddles Creek,3139,POINT (145.43623618881 -37.7897634)
Woori Yallock Primary School,75,-37.7673231,145.5325855,Hoddles Creek,3139,POINT (145.5325855 -37.7673231)
Kallista Primary School,87,-37.884632,145.3692806,Kallista,3791,POINT (145.3692806 -37.884632)
Gladesville Primary School,85,-37.8099806,145.3259793,Kilsyth,3137,POINT (145.3259793 -37.8099806)
Kilsyth Primary School,79,-37.8012702,145.3221355,Kilsyth,3137,POINT (145.3221355 -37.8012702)
St Richard's School,70,,,Kilsyth,3137,POINT (nan nan)
St Patrick's School,89,-37.75303,145.3528457,Lilydale,3140,POINT (145.3528457 -37.75303)
Birmingham Primary School,89,-37.7772819,145.3671136,Lilydale,3140,POINT (145.3671136 -37.7772819)
Edinburgh Adventist Primary,83,,,Lilydale,3140,POINT (nan nan)
Lilydale West Primary School,76,-37.7565821,145.3391164,Lilydale,3140,POINT (145.3391164 -37.7565821)
Lilydale Primary School,74,-37.7572672,145.3534195,Lilydale,3140,POINT (145.3534195 -37.7572672)
Macclesfield Primary School,82,-37.8624169,145.478664,Macclesfield,3782,POINT (145.478664 -37.8624169)
Selby Primary School,93,-37.9115636,145.367001,Menzies Creek,3159,POINT (145.367001 -37.9115636)
Menzies Creek Primary School,77,-37.9212212,145.4069195,Menzies Creek,3159,POINT (145.4069195 -37.9212212)
Wesburn Primary School,79,,,Millgrove,3799,POINT (nan nan)
Millwarra Primary School,76,-37.7482024,145.7178877,Millgrove,3799,POINT (145.7178877 -37.7482024)
St Paul's Primary School,79,-37.8627762,145.4123139,Monbulk,3793,POINT (145.4123139 -37.8627762)
Mountain District Christian School,71,-37.8583016,145.4539958,Monbulk,3793,POINT (145.4539958 -37.8583016)
Montrose Primary School,82,,,Montrose,3765,POINT (nan nan)
Billanook Primary School,80,-37.8233386,145.3395876,Montrose,3765,POINT (145.3395876 -37.8233386)
Billanook College,91,-37.7879904,145.3192833,Mooroolbark,3138,POINT (145.3192833 -37.7879904)
Rolling Hills Primary School,83,-37.7664357,145.328035653819,Mooroolbark,3138,POINT (145.328035653819 -37.7664357)
Bimbadeen Heights Primary School,80,-37.7728629,145.3210373,Mooroolbark,3138,POINT (145.3210373 -37.7728629)
St Peter Julian Eymard School,78,-37.788163,145.3145162,Mooroolbark,3138,POINT (145.3145162 -37.788163)
Manchester Primary School,73,-37.773076,145.3079308,Mooroolbark,3138,POINT (145.3079308 -37.773076)
Mooroolbark East Primary School,67,-37.7859065,145.3240966,Mooroolbark,3138,POINT (145.3240966 -37.7859065)
Pembroke Primary School,65,-37.7941198,145.3279463,Mooroolbark,3138,POINT (145.3279463 -37.7941198)
Mount Evelyn Christian School,79,,,Mount Evelyn,3796,POINT (nan nan)
St Mary's Primary School,70,,,Mount Evelyn,3796,POINT (nan nan)
Sassafras Primary School,91,-37.8723015,145.344206,Sassafras,3787,POINT (145.344206 -37.8723015)
Selby Primary School,93,-37.9115636,145.367001,Selby,3159,POINT (145.367001 -37.9115636)
Menzies Creek Primary School,77,-37.9212212,145.4069195,Selby,3159,POINT (145.4069195 -37.9212212)
Launching Place Primary School,91,-37.7818572,145.5708173,Seville,3139,POINT (145.5708173 -37.7818572)
Seville Primary School,84,-37.7742942,145.4677832,Seville,3139,POINT (145.4677832 -37.7742942)
Wandin North Primary School,79,-37.7698551,145.409764201241,Seville,3139,POINT (145.409764201241 -37.7698551)
Wandin Yallock Primary School,77,-37.7897634,145.43623618881,Seville,3139,POINT (145.43623618881 -37.7897634)
Woori Yallock Primary School,75,-37.7673231,145.5325855,Seville,3139,POINT (145.5325855 -37.7673231)
Launching Place Primary School,91,-37.7818572,145.5708173,Seville East,3139,POINT (145.5708173 -37.7818572)
Seville Primary School,84,-37.7742942,145.4677832,Seville East,3139,POINT (145.4677832 -37.7742942)
Wandin North Primary School,79,-37.7698551,145.409764201241,Seville East,3139,POINT (145.409764201241 -37.7698551)
Wandin Yallock Primary School,77,-37.7897634,145.43623618881,Seville East,3139,POINT (145.43623618881 -37.7897634)
Woori Yallock Primary School,75,-37.7673231,145.5325855,Seville East,3139,POINT (145.5325855 -37.7673231)
Dixons Creek Primary School,89,-37.6195428,145.4098799,Steels Creek,3775,POINT (145.4098799 -37.6195428)
Dixons Creek Primary School,89,-37.6195428,145.4098799,Tarrawarra,3775,POINT (145.4098799 -37.6195428)
St Thomas More's Primary School,88,,,Tecoma,3160,POINT (nan nan)
Tecoma Primary School,86,-37.906601,145.3439748,Tecoma,3160,POINT (145.3439748 -37.906601)
Belgrave Heights Christian School,81,-37.9200467,145.3450299,Tecoma,3160,POINT (145.3450299 -37.9200467)
Belgrave South Primary School,79,-37.9221133,145.3566661,Tecoma,3160,POINT (145.3566661 -37.9221133)
The Patch Primary School,84,-37.8954689,145.404962,The Patch,3792,POINT (145.404962 -37.8954689)
Upwey Primary School,95,-37.9023,145.3319549,Upwey,3158,POINT (145.3319549 -37.9023)
Upwey South Primary School,80,-37.9025591,145.3295623,Upwey,3158,POINT (145.3295623 -37.9025591)
Launching Place Primary School,91,-37.7818572,145.5708173,Wandin East,3139,POINT (145.5708173 -37.7818572)
Seville Primary School,84,-37.7742942,145.4677832,Wandin East,3139,POINT (145.4677832 -37.7742942)
Wandin North Primary School,79,-37.7698551,145.409764201241,Wandin East,3139,POINT (145.409764201241 -37.7698551)
Wandin Yallock Primary School,77,-37.7897634,145.43623618881,Wandin East,3139,POINT (145.43623618881 -37.7897634)
Woori Yallock Primary School,75,-37.7673231,145.5325855,Wandin East,3139,POINT (145.5325855 -37.7673231)
Launching Place Primary School,91,-37.7818572,145.5708173,Wandin North,3139,POINT (145.5708173 -37.7818572)
Seville Primary School,84,-37.7742942,145.4677832,Wandin North,3139,POINT (145.4677832 -37.7742942)
Wandin North Primary School,79,-37.7698551,145.409764201241,Wandin North,3139,POINT (145.409764201241 -37.7698551)
Wandin Yallock Primary School,77,-37.7897634,145.43623618881,Wandin North,3139,POINT (145.43623618881 -37.7897634)
Woori Yallock Primary School,75,-37.7673231,145.5325855,Wandin North,3139,POINT (145.5325855 -37.7673231)
Wesburn Primary School,79,,,Warburton,3799,POINT (nan nan)
Millwarra Primary School,76,-37.7482024,145.7178877,Warburton,3799,POINT (145.7178877 -37.7482024)
Wesburn Primary School,79,,,Warburton East,3799,POINT (nan nan)
Millwarra Primary School,76,-37.7482024,145.7178877,Warburton East,3799,POINT (145.7178877 -37.7482024)
Wesburn Primary School,79,,,Wesburn,3799,POINT (nan nan)
Millwarra Primary School,76,-37.7482024,145.7178877,Wesburn,3799,POINT (145.7178877 -37.7482024)
Launching Place Primary School,91,-37.7818572,145.5708173,Woori Yallock,3139,POINT (145.5708173 -37.7818572)
Seville Primary School,84,-37.7742942,145.4677832,Woori Yallock,3139,POINT (145.4677832 -37.7742942)
